i	storm.ach	multigain.ach
1	1	1.494065284729004
2	1	1.8978559970855713
3	1	2.4154820442199707
4	1	2.4452450275421143
5	1	2.4964241981506348
6	1	3.557736873626709
7	1	5.9680702686309814
8	1.0511579513549805	7.279261350631714
9	1.0588996410369873	19.709036588668823
10	1.1503474712371826	35.39082956314087
11	5.268418550491333	767.1098802089691
12	25.897950887680054	1218.1469373703003
13	27.325005292892456	2682.287799835205
14	169.81871509552002	5957.4003484249115
15	323.65070271492004	nan
16	1161.0976901054382	nan
17	1472.5166790485382	nan
18	1703.9060583114624	nan
19	nan	nan
20	nan	nan
